,City,Latitude,Longitude,Temperature °F,Humidity (%),Cloud Coverage (%),Wind Speed (MPH)
0,Srednekolymsk,72.70225046404502,155.77266113738932,-11.15,90.0,100.0,8.84
1,Nanortalik,56.71264182906549,-43.70166149426578,26.28,95.0,98.0,9.26
2,Rabo De Peixe,38.503625638503905,-25.715400296002315,60.08,67.0,40.0,17.27
3,Praya,-9.35171139271263,116.38821027080019,71.6,68.0,40.0,20.71
4,Nalut,28.878754275297084,9.54625778280564,52.54,57.0,4.0,19.3
5,Busselton,-57.900342536669065,88.73479518342958,69.01,72.0,55.0,3.53
6,Atambua,-7.499177505602745,126.64270635810453,72.95,89.0,100.0,1.14
7,Tual,-5.538752054998142,131.371677595807,83.14,80.0,100.0,16.91
8,Nome,65.43081062260839,-162.85945168134907,8.6,61.0,1.0,9.22
9,Albany,-65.35064786687525,103.2281821066091,30.13,54.0,91.0,3.47
10,Chokurdakh,83.2563086015924,153.480807242926,-8.55,86.0,100.0,12.5
11,Kapaa,39.63846010467654,-160.64806045961666,75.29,78.0,75.0,9.22
12,Ancud,-39.94444623206163,-97.22115737687407,60.64,45.0,0.0,10.36
13,Castro,-48.683040306966554,-82.7959857940263,76.1,69.0,33.0,8.63
14,Ushuaia,-80.76685848816032,-23.418969830719846,53.6,43.0,75.0,6.91
15,Hithadhoo,-11.228601329572328,80.72879084781346,82.51,75.0,95.0,8.88
16,Upernavik,89.19684479204008,-56.86016070464315,-2.38,90.0,100.0,2.66
17,Tautira,-16.05701646578109,-146.35002262722355,84.09,70.0,20.0,14.97
18,Qasigiannguit,68.10787444608494,-47.73843511829091,10.4,61.0,90.0,9.22
19,Kavieng,13.408919582045044,151.72078967131574,82.09,77.0,70.0,8.55
20,Qaanaaq,75.6060131359229,-72.54267599168685,11.8,93.0,100.0,2.35
21,Rikitea,-29.98550533428333,-122.3639263148367,79.86,76.0,88.0,16.35
22,Todos Santos,21.51904450826754,-113.71718049745712,67.03,64.0,76.0,7.0
23,Santiago Del Estero,-26.17267008491993,-62.93513797858819,97.0,30.0,0.0,1.99
24,Cape Town,-57.16810407343269,-2.411901966931879,66.67,77.0,40.0,4.61
25,Umzimvubu,-46.174119973592276,42.56918316475466,,,,
26,Bathsheba,17.55858342098412,-51.25298072137258,82.4,61.0,40.0,20.71
27,Mae Hong Son,19.791348690631665,98.54059712648268,62.49,41.0,0.0,1.3
28,Gamba,-7.543516424295021,3.880731169990156,79.74,85.0,100.0,6.96
29,Grand River South East,-19.953676438265006,77.35191133019072,,,,
30,Kununurra,-15.517489442146072,126.55601592025192,78.8,100.0,90.0,4.61
31,San Jose,10.539825043475659,-91.89271571408412,54.77,58.0,75.0,6.2
32,Tuktoyaktuk,80.73154509227211,-128.80448749333215,-2.2,78.0,75.0,11.5
33,Mugur-Aksy,50.32740870894122,89.57304278454484,11.64,80.0,12.0,6.22
34,Tsihombe,-39.22062674667902,45.68255257487783,,,,
35,Carnarvon,-19.72526617509017,108.82670902799777,75.2,100.0,75.0,4.61
36,Vao,-25.011475164662215,172.28124257388214,78.85,77.0,46.0,7.54
37,Svetlogorsk,65.88715711034564,90.69902342542957,15.39,96.0,97.0,4.68
38,Ramygala,55.62401715719497,24.27821886083936,26.6,80.0,75.0,5.75
39,Jacareacanga,-6.28763234577724,-58.983824522790485,78.89,93.0,100.0,1.81
40,Tessalit,23.56031823979295,4.623906564085473,77.99,15.0,0.0,6.38
41,Djibo,14.568763525084336,-1.3364358494916075,86.68,12.0,0.0,8.37
42,Taolanaro,-38.193813562562646,52.938183378330734,,,,
43,Ribeira Grande,29.22074365351766,-29.698136661739625,60.8,72.0,75.0,32.21
44,Esperance,-51.9410236309018,127.68865661581316,62.6,72.0,68.0,13.8
45,Hermanus,-67.93702122138993,0.26960838681333144,64.0,91.0,80.0,4.0
46,Mataura,-25.59914500125069,-151.61325650046328,55.99,93.0,100.0,7.0
47,Barrow,73.29785951310856,-160.87325192830428,-14.8,76.0,40.0,10.36
48,Berlevag,73.22145270324663,29.487591147247514,22.33,80.0,75.0,14.97
49,Morondava,-18.863782635796298,42.06527835584677,78.73,82.0,100.0,10.07
50,Bambous Virieux,-34.205079635779036,74.87421580290868,77.0,88.0,40.0,5.73
51,Punta Arenas,-89.25394667385464,-101.47192023568581,51.39,58.0,75.0,20.71
52,Mabaruma,9.621036545599026,-57.67858889221951,84.2,70.0,75.0,16.11
53,San Patricio,12.008392338304873,-109.49984651121034,35.6,93.0,90.0,17.27
54,East London,-52.216119052234944,40.36726722343016,75.2,88.0,20.0,13.8
55,Alotau,-11.175210997354597,149.45148211767986,,,,
56,Warqla,30.912253525611803,6.488788563016158,,,,
57,Whitehorse,61.841156155656535,-135.5843607850884,-23.8,76.0,1.0,4.47
58,Kutum,14.32181098765281,25.73722734975334,66.99,24.0,0.0,6.33
59,Soyo,-7.988707313859052,7.700676613560773,81.19,76.0,100.0,10.56
60,Shache,39.397487462701065,78.02881882877836,36.43,74.0,1.0,3.51
61,Khatanga,79.91407709251374,103.8383154842378,-33.54,82.0,84.0,2.06
62,Linqiong,32.76271203026023,101.0853353568832,55.4,82.0,100.0,6.71
63,Gweta,-19.98334101035229,24.604799587582335,76.93,72.0,100.0,11.65
64,Ahipara,-35.34818259448877,169.76033809043383,70.84,95.0,100.0,12.55
65,Sindand,33.06149280553268,62.70472420805359,,,,
66,Trapani,38.65700980159798,11.59304555798363,44.33,49.0,40.0,17.27
67,Vardo,76.07694288260359,32.44052070860408,21.2,86.0,75.0,16.11
68,Saskylakh,88.40650657584331,109.40291788852687,-21.06,86.0,100.0,12.28
69,Sitka,50.983499756582574,-142.8534983575435,35.6,35.0,90.0,5.75
70,Souillac,-49.04435925461243,70.26620134405593,77.0,88.0,40.0,6.24
71,Pevek,76.57963184900967,165.95430921705236,-18.9,87.0,35.0,2.44
72,Warrington,28.283119575946316,-87.39532283066676,42.71,93.0,40.0,17.27
73,Hilo,1.8155243044247982,-156.19135944944463,67.84,83.0,90.0,5.75
74,Illoqqortoormiut,84.61372837302892,-12.455172659627607,,,,
75,Kaitangata,-87.35122294215509,178.82522388170497,54.61,90.0,85.0,2.82
76,Lorengau,5.265449042852026,147.90768190096833,81.86,78.0,100.0,8.16
77,Truro,45.00176715832839,-63.409311521554244,50.72,93.0,75.0,17.27
78,Laguna,-33.40680915965353,-39.39198955388554,54.68,50.0,90.0,6.91
79,Cherskiy,77.8856115573432,158.13307000910237,-7.67,89.0,100.0,1.03
80,Ormara,21.949628198844877,64.1966130010789,71.44,77.0,69.0,13.29
81,Sao Jose Da Coroa Grande,-10.711369956702086,-30.295790981966803,81.61,75.0,60.0,11.88
82,Byron Bay,-28.808849041059837,158.6463574065017,64.72,88.0,90.0,6.91
83,Sadao,6.661869950019053,100.28977328175563,74.5,100.0,20.0,5.1
84,Torbay,50.95003536470446,-44.390974992428994,27.46,63.0,40.0,8.05
85,Noumea,-28.118123669770256,163.753798563898,75.61,94.0,0.0,4.97
86,Xichang,29.059121932861473,101.03523143913907,46.78,56.0,0.0,0.89
87,Port Alfred,-71.32344177110365,46.42552953113511,72.0,93.0,100.0,4.0
88,Buraydah,29.134931561827926,43.61050105876126,68.0,49.0,0.0,4.61
89,Wenling,27.07720408570377,122.07078119539239,57.0,84.0,0.0,4.54
90,Bluff,-84.60830370582882,162.35235588082395,55.99,93.0,34.0,7.0
91,Jiaohe,44.10830893339437,127.28415898783521,6.84,93.0,100.0,5.19
92,Hovd,43.28119145879779,103.05717827738249,11.03,86.0,0.0,1.66
93,Rio Grande,-37.7007068050544,-45.150712257638645,76.86,65.0,75.0,11.5
94,Kazalinsk,47.87773180943171,61.83660073572895,,,,
95,Hofn,62.272682442953226,-14.609087113274143,43.14,91.0,100.0,24.09
96,Quang Ngai,14.852511440689199,109.29303367183809,62.19,87.0,67.0,4.29
97,Qaqortoq,55.75907310564463,-49.2869128708642,33.8,75.0,75.0,3.44
98,Sao Filipe,15.151900506756164,-25.67454123870135,71.78,72.0,1.0,10.63
99,Kodiak,55.72403169008564,-153.56954248535595,39.2,87.0,90.0,14.97
100,Higuey,19.035585140243683,-68.13219852588827,,,,
101,Asau,-14.543562702637502,179.17273357546526,27.0,65.0,100.0,1.25
102,Trincomalee,8.40686200165149,81.89296778856482,78.22,84.0,27.0,9.35
103,Avarua,-37.446204466138916,-164.848807125476,82.4,78.0,0.0,5.75
104,Tasiilaq,73.96252470191797,-42.60394410030415,32.0,86.0,90.0,6.91
105,Hervey Bay,-21.033029265084153,156.3686498713493,69.01,91.0,43.0,5.99
106,Gangotri,32.372420642897794,79.76931938445472,,,,
107,Bonavista,53.716659050391485,-49.22216817692623,27.14,63.0,100.0,2.3
108,Saint-Philippe,-58.27282583400773,68.04483075664609,73.87,73.0,20.0,11.5
109,Kakonko,-3.0153372229430033,31.096115155863515,66.04,87.0,100.0,0.94
110,Ngaoundere,7.417070939534057,13.983142987075269,71.78,22.0,0.0,4.14
111,Yellowknife,78.44973717188654,-107.1825944235514,-7.96,77.0,1.0,12.66
112,Hasaki,29.372754035634102,157.17437324612564,51.57,87.0,75.0,2.3
113,Karratha,-18.91065739420749,111.60634978004924,79.88,79.0,0.0,9.71
114,Gladstone,-21.133413652760765,154.64684268471387,73.4,78.0,90.0,5.75
115,Samalaeulu,-1.665515527800352,-166.27019922112697,,,,
116,New Norfolk,-82.2416793458526,129.9971586521358,56.39,71.0,100.0,1.83
117,Bara,13.256629594130985,30.173717115001324,82.0,15.0,0.0,8.48
118,Kahului,31.871054478392836,-151.92526775453243,73.85,73.0,20.0,8.72
119,Tarko-Sale,64.3159489731014,78.72094161338708,-25.31,84.0,100.0,14.32
120,Hobart,-73.96201783194007,143.44531083386642,56.8,88.0,75.0,4.61
121,Atuona,-10.84936824006519,-137.1846346704648,78.82,73.0,0.0,14.03
122,Severo-Kurilsk,31.667486347819946,168.39553004467922,24.01,92.0,69.0,10.04
123,Vestmanna,70.58535643405887,-8.96162147746088,42.8,93.0,90.0,35.68
124,Makakilo City,12.981941595020942,-163.0060731794504,75.43,69.0,1.0,1.66
125,Port Elizabeth,-59.94557495616708,30.089918729470895,71.6,83.0,75.0,18.41
126,Mahebourg,-36.09376715334005,72.98286553821254,77.0,88.0,40.0,5.44
127,Nishihara,19.86534552942409,137.0517925770102,66.63,68.0,20.0,18.41
128,Price,39.79002717878612,-110.9055720625677,33.8,47.0,1.0,19.57
129,Victoria,-7.4519236971302405,56.271719716615934,63.73,76.0,0.0,6.91
130,Barawe,-1.3971617957652,46.320380072044344,,,,
131,Luderitz,-33.21899849941766,1.8850265519855327,67.84,71.0,0.0,20.98
132,Amderma,68.63625373363601,59.50872799989864,,,,
133,Kathu,-27.565897897065646,22.124287553199053,75.2,83.0,20.0,2.3
134,Butaritari,24.089826770612817,177.64129866109187,80.31,79.0,99.0,19.84
135,Te Anau,-37.54916257367103,163.0252316052596,52.83,90.0,79.0,1.23
136,Goderich,6.981599754773299,-16.197763227935212,19.4,79.0,100.0,6.91
137,Morgan City,27.105118221400048,-92.09314148248322,41.95,81.0,90.0,8.05
138,Vaini,-62.834949159994125,-172.0255655020962,78.8,94.0,20.0,4.61
139,Umm Durman,15.552208860265452,32.05751004676969,,,,
